transaction_id,user_id,date,merchant,category,amount,currency,payment_mode,type
580d7b71-d8f5-4413-9be6-128e18c26797,demo_user_001,2025-07-14,Water Bill,utilities,643.02,INR,Card,debit
0b1f9163-ce9f-457f-83b7-a3a69a8dca03,demo_user_001,2024-11-16,McDonald's,food_dining,962.73,INR,Card,debit
1ff49b78-8946-4e85-b59c-de66bacfb3d0,demo_user_001,2024-11-02,Company Payroll,salary,56452.87,INR,NetBanking,credit
142c3fe8-60e7-4113-ac1b-8ca1f91e1d4c,demo_user_001,2025-03-09,Big Bazaar,groceries,2154.79,INR,NetBanking,debit
a0ee89ae-d453-4d32-8b0d-bb418d5288f1,demo_user_001,2025-03-11,Zomato,food_dining,1442.24,INR,UPI,debit
5c941cf0-dc98-42c1-a2ac-f72f9e574f7a,demo_user_001,2025-03-07,Reliance Fresh,groceries,470.81,INR,NetBanking,debit
11ce5dd2-b45e-41f0-b139-d32c93cd59bf,demo_user_001,2025-06-28,DMart,groceries,1486.39,INR,Cash,debit
c5e7ce8a-3a57-4a8e-a948-8d990bbb2599,demo_user_001,2024-10-13,DMart,groceries,1020.9,INR,NetBanking,debit
daf61a26-146d-4f31-bc37-7a4c4a15544d,demo_user_001,2025-08-07,Electricity Bill,utilities,3670.57,INR,Card,debit
614ff3d7-19db-4ad0-9dd1-dfb23b982ef8,demo_user_001,2025-07-10,Uber,transportation,691.49,INR,Cash,debit
d58842de-a2bc-472f-b412-b29347294739,demo_user_001,2025-02-25,Ola,transportation,526.76,INR,Card,debit
5af30553-5ec4-4e08-a9a3-b2e95d65a441,demo_user_001,2025-04-16,Ola,transportation,207.13,INR,UPI,debit
b3aa7efe-4458-4885-ab90-99a435a240ae,demo_user_001,2025-04-27,Internet,utilities,1270.12,INR,Card,debit
12476f57-a5e5-45ab-aefc-fad8efc89849,demo_user_001,2024-10-07,Netflix,entertainment,612.9,INR,Card,debit
88bd6407-2bcf-4e01-a28d-efe39bf00273,demo_user_001,2025-08-02,Company Payroll,salary,131142.23,INR,Card,credit
7656af72-29d4-4eef-beab-edcbbaa80dd4,demo_user_001,2025-07-28,Reliance Fresh,groceries,1323.26,INR,Card,debit
ece66fa2-fd51-46e6-851b-4cf36123fdf7,demo_user_001,2024-09-29,Internet,utilities,1916.05,INR,Cash,debit
3838b326-8e94-4239-b02b-61c4a3d70628,demo_user_001,2025-04-17,Spotify,entertainment,971.82,INR,Card,debit
c4b032cc-d7c5-44a5-9304-317faf42e12f,demo_user_001,2025-04-18,McDonald's,food_dining,907.85,INR,Cash,debit
d261a7ab-3aa2-44f9-8e51-f30dc6a7ee39,demo_user_001,2025-06-21,Water Bill,utilities,2128.98,INR,Cash,debit
66b2bc5b-50c1-47fc-8e17-7b4e0837b8a3,demo_user_001,2025-06-13,Big Bazaar,groceries,2611.09,INR,Card,debit
e9c349e0-3602-48ac-90f1-bc81448aaa9e,demo_user_001,2025-02-14,Company Payroll,salary,101569.08,INR,Cash,credit
b7c93acf-e059-40ee-9132-b63ef16287e4,demo_user_001,2024-11-20,Water Bill,utilities,2881.01,INR,UPI,debit
7fcd9eb1-a7ca-4415-b66e-b16f508ebad7,demo_user_001,2024-11-29,Company Payroll,salary,111805.24,INR,NetBanking,credit
a491f0b2-ea1f-4a65-a27a-984d654821d0,demo_user_001,2025-01-20,Company Payroll,salary,43386.26,INR,Card,credit
23bed01d-43cf-4fde-a493-3b83757750a9,demo_user_001,2025-04-18,BookMyShow,entertainment,1912.25,INR,Card,debit
89fa6a68-8fb5-427b-beb7-99193f22faf8,demo_user_001,2025-03-31,Electricity Bill,utilities,4417.33,INR,Card,debit
6dadd6c7-95a7-4d79-bf3c-4c06434308bc,demo_user_001,2024-11-27,Swiggy,food_dining,1179.39,INR,UPI,debit
